0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,user
-271.7759704589844,92.67117309570312,-1.3511167764663696,9.075888633728027,-3.1700003147125244,10.203656196594238,-1.2328842878341675,-4.206328392028809,-6.876666069030762,-3.4720458984375,-2.598191976547241,0.424562007188797,-7.577136516571045,3094.5184426229507,0.016369817778468132,samuel
-275.0082702636719,88.69208526611328,-6.870209693908691,6.587542533874512,-1.5340261459350586,6.825872898101807,-7.978793144226074,-7.10256814956665,-6.023677825927734,-2.821397066116333,-1.6104735136032104,-5.626621246337891,-6.603024482727051,3278.560450819672,0.007709726691246033,samuel
-278.2714538574219,95.80829620361328,-4.7370829582214355,9.458436965942383,-2.4499351978302,8.509867668151855,-3.024519443511963,-5.301499843597412,-7.142268657684326,-4.570948123931885,-3.076957941055298,-0.6920219659805298,-9.080901145935059,3008.8848039215686,0.01015738770365715,samuel
-194.56746978275277,57.14319474841755,8.417429713471842,5.397925885958914,0.13492094381567485,4.071523489260718,-0.3348957324855353,-3.000120695561616,-4.769136202387283,-5.383320300227953,-2.2297979067598312,-1.6553354741792305,-5.000256902883479,4821.5932377049185,0.016405629034543807,samuel
-203.46278381347656,144.72608947753906,-0.554127037525177,28.893512725830078,-13.39210319519043,-13.847366333007812,-10.42080307006836,-13.329344749450684,-8.025827407836914,3.666438102722168,-5.326193809509277,-2.850113868713379,-4.956905841827393,1950.1753826530612,0.02012752741575241,kayonga
-222.17771911621094,140.1150360107422,-3.183936834335327,21.373390197753906,-24.138206481933594,-11.689966201782227,-13.347366333007812,-11.734325408935547,-2.1488332748413086,-0.6142165660858154,-8.388123512268066,-0.5487160682678223,-0.8801851868629456,2060.188137755102,0.008613408543169498,kayonga
-233.39846801757812,146.80838012695312,-1.854330062866211,28.005157470703125,-15.925271034240723,-12.623140335083008,-12.506664276123047,-12.61800479888916,-9.51672077178955,3.8472554683685303,-6.253875732421875,-3.7507803440093994,-5.171385765075684,1885.9565548780488,0.008101105690002441,kayonga
-158.67396373216042,101.63115066380561,20.4817378160415,15.201563115853705,-6.26663603279554,-14.401833619001717,-9.836360936741725,-13.150698268637896,-7.433991098494165,1.641479336217272,-3.647264607222998,-4.793351186616784,-1.3316459699603305,3532.2863520408164,0.020154829266689787,kayonga
-266.372314453125,53.384368896484375,18.08328628540039,8.823152542114258,19.08962631225586,-4.747711658477783,-2.079280138015747,4.288228511810303,-10.411069869995117,0.08526518940925598,-10.07558822631836,0.9811643958091736,-3.860910415649414,4336.834016393443,0.03697945177555084,sharif
-287.6079406738281,62.070552825927734,14.837090492248535,8.768553733825684,15.75293254852295,-12.558475494384766,2.4935309886932373,-5.242679119110107,-11.373730659484863,-3.9303436279296875,-7.2500104904174805,1.657580018043518,-8.001110076904297,4445.824795081967,0.01211885642260313,sharif
-281.10736083984375,61.423316955566406,19.968488693237305,6.639615535736084,18.70029640197754,-7.169119834899902,-4.111327648162842,4.636790752410889,-12.153644561767578,-0.8847120404243469,-12.211182594299316,2.6801865100860596,-6.475587844848633,4362.591911764706,0.01471736840903759,sharif
-206.9286467189152,34.27434844529678,18.440444435529958,6.837082243235356,11.447181095295443,-4.027121289806181,-1.260783852728605,2.7259580531026986,-7.102229064019914,-2.4842327308687224,-7.122948132117965,0.02951888301777738,-3.49148256146143,5270.876024590164,0.03701259779637498,sharif
-232.29794311523438,118.18206024169922,31.43173599243164,15.25361442565918,-19.873615264892578,-5.467944145202637,-13.181334495544434,-15.564127922058105,-4.1164045333862305,-0.40540602803230286,-8.431708335876465,4.3389811515808105,-5.082497596740723,2945.413961038961,0.02300705946981907,kayonga
-253.49620056152344,119.71610260009766,30.399730682373047,2.3015177249908447,-24.436180114746094,-5.014936447143555,-17.34717559814453,-11.27833366394043,-1.2404826879501343,-5.887691497802734,-4.7031660079956055,1.434144139289856,-11.254982948303223,3055.8035714285716,0.013247357681393623,kayonga
-261.1476135253906,120.21583557128906,32.394081115722656,14.735414505004883,-21.77756690979004,-4.094290733337402,-13.483617782592773,-14.910621643066406,-5.657672882080078,0.31154483556747437,-8.619176864624023,5.711528778076172,-4.89661979675293,2913.9404296875,0.00919363833963871,kayonga
